"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Gertner & Dovidio";"Gaertner";"Dovidio";"";"";"";NA;NA;1977;16;16;32;-0.199;"lab";"exp";"emerg";"no";"helping rate";13;32;0.199;0.199;16;16;0.204146551724138;0.204146551724138;0.124999682039577;0.124999682039577;0.118776620402835;0.118776620402835
"Gottlieb & Carver";"Gottlieb";"Carver";"";"";"";NA;NA;1980;33;65;98;-0.375;"lab";"exp";"emerg";"no";"latency";13;98;0.375;0.375;33;65;0.377960526315789;0.377960526315789;0.0408163141404087;0.0408163141404087;0.0401793983316746;0.0401793983316746
"Gottlieb & Schwarz";"Gottlieb";"Schwartz";"";"";"";NA;NA;1976;60;60;120;-0.377;"lab";"exp";"emerg";"no";"latency rank";13;120;0.377;0.393924451;60;60;0.379416666666667;0.39644960773718;0.0333333277794374;0.0333333277794374;0.032910051719761;0.032910051719761
"Harari et al.";"Harari";"Harari";"White";"";"";NA;NA;1985;40;40;80;0.609;"field";"qexp";"emerg";"yes";"helping rate";13;80;-0.609;-0.609;40;40;-0.614931818181818;-0.614931818181818;0.0499999261444175;0.0499999261444175;0.049039949894687;0.049039949894687
"Harris & Robinson";"Harris";"Robinson";"";"";"";NA;NA;1973;23;23;46;-0.584;"lab";"exp";"emerg";"no";"latency";13;46;0.584;0.584;23;23;0.594186046511628;0.594186046511628;0.0869558909264606;0.0869558909264606;0.0840001004789685;0.0840001004789685
"Horowitz";"Horowitz";"";"";"";"";NA;NA;1971;10;10;20;-1.007;"lab";"exp";"emerg";"no";"interv score";13;20;1.007;1.007;10;10;1.05142647058824;1.05142647058824;0.199944740391189;0.199944740391189;0.183404975117805;0.183404975117805
"Horowitz";"Horowitz";"";"";"";"";NA;NA;1971;10;10;20;-0.595;"lab";"exp";"emerg";"no";"interv score";13;20;0.595;0.435169096;10;10;0.62125;0.454367732588235;0.199980704283678;0.199980704283678;0.183437964016609;0.183437964016609
"Horowitz";"Horowitz";"";"";"";"";NA;NA;1971;10;10;20;-0.435;"lab";"exp";"emerg";"no";"interv score";13;20;0.435;0.435;10;10;0.454191176470588;0.454191176470588;0.199989686050676;0.199989686050676;0.183446202796732;0.183446202796732
"Horowitz";"Horowitz";"";"";"";"";NA;NA;1971;10;10;20;-0.229;"lab";"exp";"emerg";"no";"interv score";13;20;0.229;0.229;10;10;0.239102941176471;0.239102941176471;0.199997141530031;0.199997141530031;0.183453041546293;0.183453041546293
"Howard & Crano";"Howard";"Crano";"";"";"";NA;NA;1974;18;18;36;-0.395;"field";"qexp";"villain act";"yes";"helping rate";13;36;0.395;0.395;18;18;0.403977272727273;0.403977272727273;0.111110333807274;0.111110333807274;0.106226966049819;0.106226966049819
"Howard & Crano";"Howard";"Crano";"";"";"";NA;NA;1974;18;18;36;-0.12;"field";"qexp";"villain act";"yes";"helping rate";13;36;0.12;0.120279459;18;18;0.122727272727273;0.123013083068182;0.111111039371029;0.111111039371029;0.106227640603611;0.106227640603611
"Howard & Crano";"Howard";"Crano";"";"";"";NA;NA;1974;18;18;36;0;"field";"qexp";"villain act";"yes";"helping rate";13;36;0;0;18;18;0;0;0.111111111111111;0.111111111111111;0.106227709190672;0.106227709190672
