"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"task";"time";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"McGeorge & Burton (1989)";"McGeorge";"Burton";"";"";"";NA;NA;1989;35;0.33;"between";"nonvisual";"no";14;35;0.33;0.067658704;0.0233546826470588;0.0291431045554544;0.342828254415394;0.03125;0.0677622289142743;0.03125
"Nakabayashi & Burton (2008)";"Nakabayashi";"Burton";"";"";"";NA;NA;2008;40;0.09;"between";"visual";"no";14;40;0.09;0.09;0.0252273233333333;0.0252273233333333;0.0902441878561468;0.027027027027027;0.0902441878561468;0.027027027027027
"Norris (1990)";"Norris";"";"";"";"";NA;NA;1990;142;0.01;"between";"nonvisual";"no";14;142;0.01;0.01;0.00709078021276596;0.00709078021276596;0.0100003333533347;0.00719424460431655;0.0100003333533347;0.00719424460431655
"Perfect & Dasgupta (1997)";"Perfect";"Dasgupta";"";"";"";NA;NA;1997;40;-0.03;"between";"nonvisual";"no";14;40;-0.03;-0.03;0.0255948925641026;0.0255948925641026;-0.0300090048631265;0.027027027027027;-0.0300090048631265;0.027027027027027
"Reber & Kotovsky (1997)";"Reber";"Kotovsky";"";"";"";NA;NA;1997;32;0.24;"between";"visual";"no";14;32;0.24;0.24;0.02864896;0.02864896;0.244774112659353;0.0344827586206897;0.244774112659353;0.0344827586206897
"Rehfeldt et al. (1998)";"Rehfeldt";"Dixon";"Hayes";"Steele";"";NA;NA;1998;10;-0.14;"between";"visual";"no";14;10;-0.14;-0.14;0.10679824;0.10679824;-0.140925576070494;0.142857142857143;-0.140925576070494;0.142857142857143
"Reid & Pinard (1985)";"Reid";"Pinard";"";"";"";NA;NA;1985;80;0.3;"between";"visual";"no";14;80;0.3;0.3;0.0104822784810127;0.0104822784810127;0.309519604203112;0.012987012987013;0.309519604203112;0.012987012987013
"Rhenius & Heydemann (1984)";"Rhenius";"Heydemann";"";"";"";NA;NA;1984;21;-0.14;"between";"visual";"no";14;21;-0.14;-0.14;0.048059208;0.048059208;-0.140925576070494;0.0555555555555556;-0.140925576070494;0.0555555555555556
"Robinson (2001)";"Robinson";"";"";"";"";NA;NA;2001;40;0.05;"between";"nonvisual";"no";14;40;0.05;0.05;0.0255129807692308;0.0255129807692308;0.0500417292784913;0.027027027027027;0.0500417292784913;0.027027027027027
"Robinson (2001)";"Robinson";"";"";"";"";NA;NA;2001;40;0.06;"between";"nonvisual";"no";14;40;0.06;0.06;0.0254567425641026;0.0254567425641026;0.0600721559210317;0.027027027027027;0.0600721559210317;0.027027027027027
