study;a1;a2;a3;a4;a5;a6;yop;n;r;students;gender;selfassess;ability;test;z;zexp;nnew;znew;znewexp;vz;newvz
Proyer & Ruch (2009), exp 4;Proyer;Ruch;;;NA;NA;2009;167;0.23;No;Mixed;Absolute;Other;IST 2000-R;0.234189467;0.234189467;167;0.234189467;0.234189467;0.006097561;0.006097561
Proyer & Ruch (2009), exp 5;Proyer;Ruch;;;NA;NA;2009;167;0.38;No;Mixed;Absolute;Other;Standard Progressive Matrices;0.40005965;0.40005965;167;0.40005965;0.40005965;0.006097561;0.006097561
Proyer & Ruch (2009), exp 6;Proyer;Ruch;;;NA;NA;2009;167;0.29;No;Mixed;Absolute;Verbal;Wortschatztest;0.298566264;0.298566264;167;0.298566264;0.298566264;0.006097561;0.006097561
R. C. Bailey & Bailey (1974), exp 1;Bailey;Bailey;;;NA;NA;1974;37;0.4;No;Male;Reference group;General;Otis Quick-Scoring Test;0.42364893;0.42364893;37;0.42364893;0.42364893;0.029411765;0.029411765
R. C. Bailey & Bailey (1974), exp 2;Bailey;Bailey;;;NA;NA;1974;24;0.39;No;Female;Reference group;General;Otis Quick-Scoring Test;0.411800034;0.411800034;24;0.411800034;0.411800034;0.047619048;0.047619048
R. C. Bailey & Bailey (1974), exp 3;Bailey;Bailey;;;NA;NA;1974;40;0.29;No;Male;Reference group;General;Otis Quick-Scoring Test;0.298566264;0.298566264;40;0.298566264;0.298566264;0.027027027;0.027027027
R. C. Bailey & Bailey (1974), exp 4;Bailey;Bailey;;;NA;NA;1974;43;0.04;No;Female;Reference group;General;Otis Quick-Scoring Test;0.040021354;0.040021354;43;0.040021354;0.040021354;0.025;0.025
R. C. Bailey & Bailey (1974), exp 5;Bailey;Bailey;;;NA;NA;1974;44;0.55;No;Male;Reference group;General;Otis Quick-Scoring Test;0.618381314;0.618381314;44;0.618381314;0.618381314;0.024390244;0.024390244
R. C. Bailey & Bailey (1974), exp 6;Bailey;Bailey;;;NA;NA;1974;42;0.85;No;Female;Reference group;General;Otis Quick-Scoring Test;1.256152812;1.256152812;42;1.256152812;1.256152812;0.025641026;0.025641026
R. C. Bailey & Bailey (1974), exp 7;Bailey;Bailey;;;NA;NA;1974;45;0.27;Yes;Male;Reference group;General;Otis Quick-Scoring Test;0.276863823;0.276863823;45;0.276863823;0.276863823;0.023809524;0.023809524
R. C. Bailey & Bailey (1974), exp 8;Bailey;Bailey;;;NA;NA;1974;75;0.44;Yes;Female;Reference group;General;Otis Quick-Scoring Test;0.472230804;0.472230804;75;0.472230804;0.472230804;0.013888889;0.013888889
R. C. Bailey & Mettetal (1977), exp 1;Bailey;Mettetal;;;NA;NA;1977;139;0.49;No;Female;Relative;General;Otis Quick-Scoring Test;0.536060337;0.536060337;139;0.536060337;0.536060337;0.007352941;0.007352941
R. C. Bailey & Mettetal (1977), exp 2;Bailey;Mettetal;;;NA;NA;1977;139;0.35;No;Male;Relative;General;Otis Quick-Scoring Test;0.365443754;0.365443754;139;0.365443754;0.365443754;0.007352941;0.007352941
Rammstedt & Rammsayer (2002a), exp 1;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.4;Yes;Mixed;Mixed;Verbal;Leistungsprilfsystem;0.42364893;0.42364893;150;0.42364893;0.42364893;0.006802721;0.006802721
Rammstedt & Rammsayer (2002a), exp 2;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.14;Yes;Mixed;Mixed;Verbal;Leistungsprilfsystem;0.140925576;0.140925576;150;0.140925576;0.140925576;0.006802721;0.006802721
Rammstedt & Rammsayer (2002a), exp 3;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.29;Yes;Mixed;Mixed;Numerical;Wilde Intelligenz Test;0.298566264;0.298566264;150;0.298566264;0.298566264;0.006802721;0.006802721
Rammstedt & Rammsayer (2002a), exp 4;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.27;Yes;Mixed;Mixed;Spatial;Leistungsprilfsystem;0.276863823;0.276863823;150;0.276863823;0.276863823;0.006802721;0.006802721
Rammstedt & Rammsayer (2002a), exp 5;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.17;Yes;Mixed;Mixed;Other;Berliner Intelligenzstrukturtest;0.171666664;0.171666664;150;0.171666664;0.171666664;0.006802721;0.006802721
Rammstedt & Rammsayer (2002a), exp 6;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.14;Yes;Mixed;Mixed;Other;Leistungsprilfsystem;0.140925576;0.140925576;150;0.140925576;0.140925576;0.006802721;0.006802721
Rammstedt & Rammsayer (2002a), exp 7;Rammstedt;Rammsayer;;;NA;NA;2002;150;0.25;Yes;Mixed;Mixed;Other;Leistungsprilfsystem;0.255412812;0.255412812;150;0.255412812;0.255412812;0.006802721;0.006802721
Rammstedt & Rammsayer (2002b), exp 1;Rammstedt;Rammsayer;;;NA;NA;2002;228;0.39;Yes;Mixed;Mixed;Verbal;Leistungsprilfsystem;0.411800034;0.411800034;228;0.411800034;0.411800034;0.004444444;0.004444444
Rammstedt & Rammsayer (2002b), exp 2;Rammstedt;Rammsayer;;;NA;NA;2002;228;0.07;Yes;Mixed;Mixed;Verbal;Leistungsprilfsystem;0.070114671;0.070114671;228;0.070114671;0.070114671;0.004444444;0.004444444
Rammstedt & Rammsayer (2002b), exp 3;Rammstedt;Rammsayer;;;NA;NA;2002;228;0.35;Yes;Mixed;Mixed;Numerical;Leistungsprilfsystem;0.365443754;0.365443754;228;0.365443754;0.365443754;0.004444444;0.004444444
Rammstedt & Rammsayer (2002b), exp 4;Rammstedt;Rammsayer;;;NA;NA;2002;228;0.27;Yes;Mixed;Mixed;Spatial;Leistungsprilfsystem;0.276863823;0.276863823;228;0.276863823;0.276863823;0.004444444;0.004444444
Rammstedt & Rammsayer (2002b), exp 5;Rammstedt;Rammsayer;;;NA;NA;2002;228;0.15;Yes;Mixed;Mixed;Other;Leistungsprilfsystem;0.151140436;0.151140436;228;0.151140436;0.151140436;0.004444444;0.004444444
Rammstedt & Rammsayer (2002b), exp 6;Rammstedt;Rammsayer;;;NA;NA;2002;228;-0.04;Yes;Mixed;Mixed;Other;Leistungsprilfsystem;-0.040021354;-0.040021354;228;-0.040021354;-0.040021354;0.004444444;0.004444444
Rammstedt & Rammsayer (2002b), exp 7;Rammstedt;Rammsayer;;;NA;NA;2002;228;0.22;Yes;Mixed;Mixed;Other;Leistungsprilfsystem;0.223656109;0.223656109;228;0.223656109;0.223656109;0.004444444;0.004444444
Reilly & Mulhern (1995), exp 1;Reilly;Mulhern;;;NA;NA;1995;45;0.42;Yes;Male;Relative;General;WAIS;0.447692024;0.447692024;45;0.447692024;0.447692024;0.023809524;0.023809524
Reilly & Mulhern (1995), exp 2;Reilly;Mulhern;;;NA;NA;1995;80;0.15;Yes;Female;Relative;General;WAIS;0.151140436;0.151140436;80;0.151140436;0.151140436;0.012987013;0.012987013
Steinmayr & Spinath (2009), exp 1;Steinmayr;Spinath;;;NA;NA;2009;136;0.15;No;Male;Mixed;Verbal;IST 2000-R;0.151140436;0.151140436;136;0.151140436;0.151140436;0.007518797;0.007518797
Steinmayr & Spinath (2009), exp 2;Steinmayr;Spinath;;;NA;NA;2009;136;0.46;No;Male;Mixed;Numerical;IST 2000-R;0.497311288;0.497311288;136;0.497311288;0.497311288;0.007518797;0.007518797
Steinmayr & Spinath (2009), exp 3;Steinmayr;Spinath;;;NA;NA;2009;136;0.33;No;Male;Mixed;Spatial;IST 2000-R;0.342828254;0.342828254;136;0.342828254;0.342828254;0.007518797;0.007518797
Steinmayr & Spinath (2009), exp 4;Steinmayr;Spinath;;;NA;NA;2009;136;0.23;No;Male;Mixed;Other;IST 2000-R;0.234189467;0.234189467;136;0.234189467;0.234189467;0.007518797;0.007518797
