study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;z;zexp;nnew;znew;znewexp;vz;newvz
Pallock;Pallock;;;;;;;2003;159;0.29;0.298566264;0.298566264;159;0.298566264;0.298566264;0.006410256;
Parisi;Parisi;;;;;;;1997;91;0.1;0.100335348;0.100335348;91;0.100335348;0.100335348;0.011363636;
Park-Adams;Park-Adams;;;;;;;1997;75;0.09;0.090244188;0.090244188;75;0.090244188;0.090244188;0.013888889;
Paschall & Flewelling;Paschall;Flewelling;;;;;;1997;263;0.3;0.309519604;0.309519604;263;0.309519604;0.309519604;0.003846154;
Perez;Perez;;;;;;;1998;130;-0.05;-0.050041729;-0.050041729;130;-0.050041729;-0.050041729;0.007874016;
Petersons et al.;Petersons;Rojhani;Steinhaus;Larkin;;;;2000;218;-0.17;-0.171666664;-0.171666664;218;-0.171666664;-0.171666664;0.004651163;
Phan & Tylka;Phan;Tylka;;;;;;2006;200;0.12;0.120581028;0.120581028;200;0.120581028;0.120581028;0.005076142;
Phillips;Phillips;;;;;;;1994;309;0.05;0.050041729;0.050041729;309;0.050041729;0.050041729;0.003267974;
Phinney;Phinney;;;;;;;1992;518;0.3;0.309519604;0.309519604;518;0.309519604;0.309519604;0.001941748;
Phinney & Alipuria;Phinney;Alipuria;;;;;;1990;150;0.29;0.298566264;0.298566264;150;0.298566264;0.298566264;0.006802721;
Phinney et al;Phinney;Madden;Santos;;;;;1998;164;0.13;0.13073985;0.13073985;164;0.13073985;0.13073985;0.00621118;
Phinney et al.;Phinney;Ferguson;Tate;;;;;1997;547;0.05;0.050041729;0.050041729;547;0.050041729;0.050041729;0.001838235;
Phinney et al.;Phinney;Cantu;Kurtz;;;;;1997;604;0.22;0.223656109;0.223656109;604;0.223656109;0.223656109;0.001663894;
Phinny & Chavira;Phinny;Chavira;;;;;;1992;64;0.48;0.522984278;0.522984278;64;0.510070337;0.510070337;0.016393443;
Pittenger;Pittenger;;;;;;;1998;136;0.23;0.234189467;0.234189467;136;0.234189467;0.234189467;0.007518797;
Prelow et al.;Prelow;Bowman;Weaver;;;;;2007;112;0.17;0.171666664;0.171666664;112;0.171666664;0.171666664;0.009174312;
Pugh-Lilly;Pugh-Lilly;;;;;;;2000;121;-0.07;-0.070114671;-0.070114671;121;-0.070114671;-0.070114671;0.008474576;
Quinones;Quinones;;;;;;;1996;147;0.16;0.161386696;0.161386696;147;0.161386696;0.161386696;0.006944444;
Ramirez;Ramirez;;;;;;;1997;150;0.29;0.298566264;0.298566264;150;0.298566264;0.298566264;0.006802721;
Reddy;Reddy;;;;;;;2002;132;0.06;0.060072156;0.060072156;132;0.060072156;0.060072156;0.007751938;
Resnicow;Resnicow;;;;;;;1999;346;0.1;0.100335348;0.100335348;346;0.100335348;0.100335348;0.002915452;
Rivas-Drake et al.;Rivas-Drake;Hughes;Way;;;;;2008;84;0.25;0.255412812;0.255412812;84;0.354092529;0.354092529;0.012345679;
Roberts;Roberts;;;;;;;1997;150;0.29;0.298566264;0.298566264;150;0.298566264;0.298566264;0.006802721;
Roberts et al;Roberts;Phinney;Masse;Chen;Roberts;Romero;;1999;1992;0.12;0.120581028;0.120581028;1992;0.117146067;0.117146067;0.000502765;
Romero & Roberts;Romero & Roberts;Roberts;;;;;;2003;881;0.26;0.266108407;0.266108407;881;0.266108407;0.266108407;0.001138952;
Rosario;Rosario;;;;;;;1999;80;0.25;0.255412812;0.255412812;80;0.255412812;0.255412812;0.012987013;
Rosen;Rosen;;;;;;;2004;71;-0.18;-0.181982689;-0.181982689;71;-0.181982689;-0.181982689;0.014705882;
Ryu;Ryu;;;;;;;2004;25;0.53;0.59014516;0.59014516;25;0.59014516;0.59014516;0.045454545;
Saavedra;Saavedra;;;;;;;1994;212;0.1;0.100335348;0.100335348;212;0.100335348;0.100335348;0.004784689;
Santana;Santana;;;;;;;1994;204;0.29;0.298566264;0.298566264;204;0.298566264;0.298566264;0.004975124;
Sasson;Sasson;;;;;;;2001;21;0.12;0.120581028;0.120581028;21;0.120581028;0.120581028;0.055555556;
Schmidt;Schmidt;;;;;;;2006;121;0.16;0.161386696;0.161386696;121;0.161386696;0.161386696;0.008474576;
Schneider;Schneider;;;;;;;1995;94;0.14;0.140925576;0.140925576;94;0.140925576;0.140925576;0.010989011;
Schwartz et al.;Schwartz;Zamboanga;Jarvis;;;;;2007;347;0.14;0.140925576;0.140925576;347;0.140925576;0.140925576;0.002906977;
Setty;Setty;;;;;;;2006;65;-0.08;-0.080171325;-0.080171325;65;-0.080171325;-0.080171325;0.016129032;
Shibazaki;Shibazaki;;;;;;;1999;136;0.08;0.080171325;0.080171325;136;0.080171325;0.080171325;0.007518797;
Shrake & Rhee;Shrake;Rhee;;;;;;2004;217;0.18;0.181982689;0.181982689;217;0.181982689;0.181982689;0.004672897;
Siegel et al.;Siegel;Yancey;McCarthy;;;;;2000;370;0.12;0.120581028;0.120581028;370;0.120581028;0.120581028;0.002724796;
Sieger & Renk;Sieger;Renk;;;;;;2007;134;0.25;0.255412812;0.255412812;134;0.255412812;0.255412812;0.007633588;
Smith;Smith;;;;;;;2006;126;0.08;0.080171325;0.080171325;126;0.080171325;0.080171325;0.008130081;
Smith;Smith;;;;;;;2003;60;0.21;0.213171347;0.213171347;60;0.213171347;0.213171347;0.01754386;
Smith & Brookins;Smith;Brookins;;;;;;1997;159;0.27;0.276863823;0.276863823;159;0.276863823;0.276863823;0.006410256;
Sobansky;Sobansky;;;;;;;2003;58;0.25;0.255412812;0.255412812;58;0.255412812;0.255412812;0.018181818;
Susberry;Susberry;;;;;;;2004;94;0.19;0.192337169;0.192337169;94;0.192337169;0.192337169;0.010989011;
Swenson & Prelow;Swenson;Prelow;;;;;;2005;133;0.18;0.181982689;0.181982689;133;0.181982689;0.181982689;0.007692308;
Tatman;Tatman;;;;;;;1996;139;0.17;0.171666664;0.171666664;139;0.171666664;0.171666664;0.007352941;
Terrell;Terrell;;;;;;;2005;115;0.21;0.213171347;0.213171347;115;0.213171347;0.213171347;0.008928571;
To;To;;;;;;;1999;106;0.32;0.331647109;0.331647109;106;0.331647109;0.331647109;0.009708738;
Tovar-Murray;Tovar-Murray;;;;;;;2004;196;0.31;0.320545409;0.320545409;196;0.320176679;0.320176679;0.005181347;
Tremayne;Tremayne;;;;;;;1997;30;0.09;0.090244188;0.090244188;30;0.090244188;0.090244188;0.037037037;
Tsoi-Pullar;Tsoi-Pullar;;;;;;;1994;209;0.34;0.354092529;0.354092529;209;0.354092529;0.354092529;0.004854369;
Turnage;Turnage;;;;;;;1998;105;0.31;0.320545409;0.320545409;105;0.320545409;0.320545409;0.009803922;
Turnage;Turnage;;;;;;;2004;105;0.36;0.376885901;0.376885901;105;0.376885901;0.376885901;0.009803922;
Umana-Taylor;Umana-Taylor;;;;;;;2004;1061;0.16;0.161386696;0.161386696;1062;0.156423518;0.156423518;0.00094518;
Umana-Taylor & Shin;Umana-Taylor;Shin;;;;;;2007;657;0.22;0.223656109;0.223656109;657;0.223656109;0.223656109;0.001529052;
Umana-Taylor & Updegraff;Umana-Taylor;Updegraff;;;;;;2007;273;0.17;0.171666664;0.171666664;273;0.171666664;0.171666664;0.003703704;
Umana-Taylor et al.;Umana-Taylor;Yazedijan;Bamaca-Gomez;;;;;2004;468;0.24;0.244774113;0.244774113;468;0.244774113;0.244774113;0.002150538;
Umana-Taylor et al.;Umana-Taylor;Vargas-Chanes;Garcia;Gonzales-Backen;;;;2008;323;0.27;0.276863823;0.276863823;323;0.276863823;0.276863823;0.003125;
Utsey et al.;Utsey;Chae;Brown;Kelly;;;;2002;160;0.33;0.342828254;0.342828254;160;0.342828254;0.342828254;0.006369427;
Van Buren;Van Buren;;;;;;;2004;523;-0.04;-0.040021354;-0.040021354;523;-0.040021354;-0.040021354;0.001923077;
Vuong;Vuong;;;;;;;2004;109;-0.16;-0.161386696;-0.161386696;109;-0.161386696;-0.161386696;0.009433962;
Walker;Walker;;;;;;;2002;112;0.17;0.171666664;0.171666664;112;0.171666664;0.171666664;0.009174312;
Walker et al.;Walker;Wingate;Obasi;Joiner;;;;2008;296;0.19;0.192337169;0.192337169;296;0.192337169;0.192337169;0.003412969;
Wallen;Wallen;;;;;;;2001;145;0.09;0.090244188;0.090244188;145;0.090244188;0.090244188;0.007042254;
Ware;Ware;;;;;;;2006;200;-0.05;-0.050041729;-0.050041729;200;-0.050041729;-0.050041729;0.005076142;
Weathersby;Weathersby;;;;;;;2007;316;0.22;0.223656109;0.223656109;316;0.223656109;0.223656109;0.003194888;
