study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;d;n;scale;item;domain;age;ethnicity;r;z;zexp;nnew;znew;znewexp;vz;newvz
Sorek & Ceobanu (2009), exp30;Sorek;Ceobanu;;;;;;2009;790;1386;-0.05;2176;State;3;6;4;2;-0.024037028;-0.024041659;-0.024041659;2176;-0.024041659;-0.024041659;0.000460193;
Sorek & Ceobanu (2009), exp31;Sorek;Ceobanu;;;;;;2009;933;729;-0.13;1662;State;3;6;4;2;-0.064374693;-0.06446384;-0.06446384;1662;-0.06446384;-0.06446384;0.000602773;
Sorek & Ceobanu (2009), exp32;Sorek;Ceobanu;;;;;;2009;430;506;0.13;936;State;3;6;4;3;0.064649847;0.064740143;0.064740143;936;0.064740143;0.064740143;0.001071811;
Sorek & Ceobanu (2009), exp33;Sorek;Ceobanu;;;;;;2009;954;1065;-0.04;2019;State;3;6;4;3;-0.019965771;-0.019968425;-0.019968425;2019;-0.019968425;-0.019968425;0.000496032;
Sorek & Ceobanu (2009), exp4;Sorek;Ceobanu;;;;;;2009;567;874;-0.1;1441;State;3;6;4;1;-0.048793914;-0.048832693;-0.048832693;1441;-0.048832693;-0.048832693;0.00069541;
Sorek & Ceobanu (2009), exp5;Sorek;Ceobanu;;;;;;2009;588;583;0;1171;State;3;6;4;1;0;0;0;1171;0;0;0.000856164;
Sorek & Ceobanu (2009), exp6;Sorek;Ceobanu;;;;;;2009;593;587;-0.2;1180;State;3;6;4;1;-0.099502445;-0.099832793;-0.099832793;1180;-0.099832793;-0.099832793;0.000849618;
Sorek & Ceobanu (2009), exp7;Sorek;Ceobanu;;;;;;2009;911;1339;0.05;2250;State;3;6;4;1;0.024536137;0.024541063;0.024541063;2250;0.024541063;0.024541063;0.000445038;
Sorek & Ceobanu (2009), exp8;Sorek;Ceobanu;;;;;;2009;193;204;0.04;397;State;3;6;4;2;0.019988327;0.01999099;0.01999099;397;0.01999099;0.01999099;0.002538071;
Sorek & Ceobanu (2009), exp9;Sorek;Ceobanu;;;;;;2009;340;472;0.03;812;State;3;6;4;2;0.014798855;0.014799936;0.014799936;812;0.014799936;0.014799936;0.001236094;
Stipek & Gralinski (1991), exp1;Stipek;Gralinski;;;;;;1991;100;94;0.43;194;State;3;8;1;2;0.210100595;0.213276585;0.213276585;194;0.213276585;0.213276585;0.005235602;
Stipek & Gralinski (1991), exp2;Stipek;Gralinski;;;;;;1991;136;143;0.14;279;State;3;8;1;2;0.069807253;0.069920977;0.069920977;279;0.069920977;0.069920977;0.003623188;
Stoeber et al. (2007);Stoeber;Harris;Moon;;;;;2007;46;75;0.18;121;State;3;1;3;3;0.087045259;0.087266107;0.087266107;121;0.087266107;0.087266107;0.008474576;
Tangney (1990), exp1;Tangney;;;;;;;1990;35;65;0;100;State;2;1;3;2;0;0;0;100;0;0;0.010309278;
Tangney (1990), exp2;Tangney;;;;;;;1990;44;35;-0.05;79;State;2;1;3;3;-0.024829579;-0.024834684;-0.024834684;79;-0.024834684;-0.024834684;0.013157895;
Tracy & Robins (2007b), exp1;Tracy;Robins;;;;;;2007;67;149;-0.15;216;State;4;1;3;2;-0.06921897;-0.069329838;-0.069329838;216;-0.069329838;-0.069329838;0.004694836;
Tracy & Robins (2007b), exp2;Tracy;Robins;;;;;;2007;127;235;0.15;362;State;4;1;3;2;0.071401706;0.071523419;0.071523419;362;0.071523419;0.071523419;0.002785515;
Tracy et al. (2009);Tracy;Cheng;Robins;Trzesniewski;;;;2009;814;1513;0;2327;State;3;1;3;2;0;0;0;2327;0;0;0.000430293;
Tymon et al. (2010);Tymon;Stumpf;Doh;;;;;2010;3993;818;0.03;4811;State;3;10;4;1;0.011268981;0.011269458;0.011269458;4811;0.011269458;0.011269458;0.000207987;
Webster et al. (2003);Webster;Duvall;Gaines;Smith;;;;2003;81;144;0.04;225;State;4;10;3;2;0.019196462;0.019198821;0.019198821;225;0.019198821;0.019198821;0.004504505;
Wills et al. (2007);Wills;Murry;Brody;Gibbons;Gerrard;Walter;Ainette;2007;312;351;-0.06;663;State;3;6;1;1;-0.029934631;-0.029943577;-0.029943577;663;-0.029943577;-0.029943577;0.001515152;
Wong (1998), exp1;Wong;;;;;;;1998;340;289;0.12;629;State;3;6;1;1;0.0596958;0.059766862;0.059766862;629;0.059766862;0.059766862;0.001597444;
Wong (1998), exp2;Wong;;;;;;;1998;154;175;0.3;329;State;3;6;1;3;0.148044594;0.149140618;0.149140618;329;0.149140618;0.149140618;0.003067485;
