"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"g";"rank";"domain";"age";"n";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Paas (1992)";"Paas";"";"";"";"";NA;NA;1992;13;15;-2.25;1;"math";"adolescents";28;2;28;-2.25;-2.188978273;13;15;-2.3175;-2.25464762119;0.142787273798967;0.142787273798967;0.134590700159267;0.134590700159267
"Pany & Jenkins";"Pany";"Jenkins";"";"";"";NA;NA;1978;6;6;-1.93;0;"verbal";"children";12;2;12;-1.93;-1.93;6;6;-2.09083333333333;-2.09083333333333;0.331655255995557;0.331655255995557;0.282593827593847;0.282593827593847
"Peters";"Peters";"";"";"";"";NA;NA;1970;30;30;0.25;0;"math";"children";60;2;60;0.25;0.25;30;30;0.253289473684211;0.253289473684211;0.0666666270644942;0.0666666270644942;0.0649462705219293;0.0649462705219293
"Pillay (1994), exp 1";"Pillay";"";"";"";"";NA;NA;1994;10;20;-1.09;0;"problem";"adolescents";30;2;30;-1.09;-1.09;10;20;-1.12027777777778;-1.12027777777778;0.13332093920358;0.13332093920358;0.126211787587903;0.126211787587903
"Pillay (1994), exp 2";"Pillay";"";"";"";"";NA;NA;1994;10;20;-0.78;0;"problem";"adolescents";30;2;30;-0.78;-0.78;10;20;-0.801666666666667;-0.801666666666667;0.133326986282948;0.133326986282948;0.126217512215267;0.126217512215267
"Pine et al. (1999)";"Pine";"Messer";"Godfrey";"";"";NA;NA;1999;14;14;-0.74;0;"science";"children";28;2;28;-0.74;-0.74;14;14;-0.7622;-0.7622;0.142849581969849;0.142849581969849;0.134649431586246;0.134649431586246
"Quilici & Mayer (1996), exp 1";"Quilici";"Mayer";"";"";"";NA;NA;1996;27;54;0.92;1;"math";"adults";81;2;81;0.92;-0.430311554;27;54;0.928846153846154;-0.434449165096154;0.0493825557115254;0.0493825557115254;0.0484464147461096;0.0484464147461096
"Quilici & Mayer (1996), exp 2";"Quilici";"Mayer";"";"";"";NA;NA;1996;18;18;-1.69;1;"math";"adults";36;2;36;-1.69;-1.69;18;18;-1.72840909090909;-1.72840909090909;0.111096883976021;0.111096883976021;0.106214107346951;0.106214107346951
"Radziszweska& Rogoff (1991)";"Radziszewska";"Rogoff";"";"";"";NA;NA;1991;20;20;-1.25;1;"problem";"children";40;2;40;-1.25;-1.25;20;20;-1.27533783783784;-1.27533783783784;0.0999949174877055;0.0999949174877055;0.0960610794548792;0.0960610794548792
"Rappolt-Schlichtmann et al. (2007)";"Rappolt-Schlichtmann";"Tenenbaum";"Koepke";"Fischer";"";NA;NA;2007;27;37;-0.61;0;"science";"children";64;2;64;-0.61;-0.61;27;37;-0.6175;-0.6175;0.0624998181795403;0.0624998181795403;0.0609908238970826;0.0609908238970826
"Reinking & Rickman (1990)";"Reinking";"Rickman";"";"";"";NA;NA;1990;45;15;-1.09;0;"verbal";"children";60;2;60;-1.09;-1.09;45;15;-1.10434210526316;-1.10434210526316;0.0666659138532631;0.0666659138532631;0.0649455757153732;0.0649455757153732
"Rieber & Parmley (1995)";"Rieber";"Parmley";"";"";"";NA;NA;1995;25;27.5;-0.65;0;"science";"adults";52.5;2;52.5;-0.65;-0.65;25;27.5;-0.659848484848485;-0.659848484848485;0.0761900176912496;0.0761900176912496;0.0739326614085727;0.0739326614085727
"Rittle-Johnson (2006)";"Rittle-Johnson";"";"";"";"";NA;NA;2006;21;21.5;-0.23;1;"math";"children";42.5;2;42.5;-0.23;-0.23;21;21.5;-0.234367088607595;-0.234367088607595;0.0941175123714465;0.0941175123714465;0.0906427058694028;0.0906427058694028
"Salmon et al. (2007)";"Salmon";"Yao";"Berntsen";"Pipe";"";NA;NA;2007;16;16;-1.66;0;"verbal";"children";32;2;32;-1.66;-1.66;16;16;-1.70293103448276;-1.70293103448276;0.124977878868847;0.124977878868847;0.118755902694668;0.118755902694668
"Scandura (1964), exp 2";"Scandura";"";"";"";"";NA;NA;1964;23;23;0;0;"math";"children";46;2;46;0;0;23;23;0;0;0.0869565217391304;0.0869565217391304;0.0840007098491571;0.0840007098491571
"Shore & Durso (1990)";"Shore";"Durso";"";"";"";NA;NA;1990;60;60;-0.14;1;"verbal";"adults";120;2;120;-0.14;-0.14;60;60;-0.140897435897436;-0.140897435897436;0.0333333325674349;0.0333333325674349;0.0329100564469592;0.0329100564469592
"Shute et al. (1989)";"Shute";"Glaser";"Raghavan";"";"";NA;NA;1989;10;10;0.42;2;"math";"adults";20;2;20;0.42;0.42;10;10;0.438529411764706;0.438529411764706;0.199990385060008;0.199990385060008;0.183446843982837;0.183446843982837
"Siegel & Corsini (1969)";"Siegel";"Corsini";"";"";"";NA;NA;1969;12;12;-0.9;1;"problem";"children";24;2;24;-0.9;-0.9;12;12;-0.932142857142857;-0.932142857142857;0.166645718048471;0.166645718048471;0.155351061771702;0.155351061771702
"Singer & Gaines (1975)";"Singer";"Gaines";"";"";"";NA;NA;1975;19;18;-0.27;0;"physical";"adults";37;2;37;-0.27;-0.27;19;18;-0.275955882352941;-0.275955882352941;0.10810778304993;0.10810778304993;0.103491618202552;0.103491618202552
"Stark et al. (1998)";"Stark";"Gruber";"Renkl";"Mandl";"";NA;NA;1998;15;15;-0.54;0;"math";"adults";30;2;30;-0.54;-0.54;15;15;-0.555;-0.555;0.133330291180523;0.133330291180523;0.126220640883826;0.126220640883826
"Strand-Cary & Klahr (2008)";"Strand-Cary";"Klahr";"";"";"";NA;NA;2008;29;32;-0.85;0;"science";"children";61;2;61;-0.85;-0.85;29;32;-0.860991379310345;-0.860991379310345;0.0655733421747003;0.0655733421747003;0.0639098156489103;0.0639098156489103
"Sutherland et al. (2003)";"Sutherland";"Pipe";"Schick";"Murray";"Gobbo";NA;NA;2003;12;11.5;-0.1;0;"verbal";"children";23.5;2;23.5;-0.1;-0.233378539;12;11.5;-0.103658536585366;-0.241916778231707;0.170212484101005;0.170212484101005;0.158409514615247;0.158409514615247
"Swaak et al. (1998)";"Swaak";"Van Joolingen";"De Jong";"";"";NA;NA;1998;21;21;-0.44;0;"science";"adults";42;2;42;-0.44;-0.460394377;21;21;-0.448461538461538;-0.469248115019231;0.0952375781781779;0.0952375781781779;0.0916776117457433;0.0916776117457433
"Swaak et al. (2004)";"Swaak";"de Jong";"van Joolingen";"";"";NA;NA;2004;67;55;-0.56;0;"science";"adolescents";122;2;122;-0.56;-0.56;67;55;-0.563529411764706;-0.563529411764706;0.0327868737780072;0.0327868737780072;0.0323774683388137;0.0323774683388137
"Sweller et al. (1990), exp 1";"Sweller";"Chandler";"Tierney";"Cooper";"";NA;NA;1990;16;16;0.2;1;"math";"adolescents";32;2;32;0.2;0.2;16;16;0.205172413793103;0.205172413793103;0.124999678835974;0.124999678835974;0.118776617358722;0.118776617358722
"Sweller et al. (1990), exp 3";"Sweller";"Chandler";"Tierney";"Cooper";"";NA;NA;1990;12;12;-1.78;1;"math";"adolescents";24;2;24;-1.78;-1.78;12;12;-1.84357142857143;-1.84357142857143;0.166584753925446;0.166584753925446;0.155294229580915;0.155294229580915
"Tarmizi & Sweller (1988), exp 3";"Tarmizi";"Sweller";"";"";"";NA;NA;1988;10;10;0.2;1;"math";"adolescents";20;2;20;0.2;0.20983174;10;10;0.208823529411765;0.219089022647059;0.199997819660448;0.199997819660448;0.183453663580621;0.183453663580621
"Tarmizi & Sweller (1988), exp 4";"Tarmizi";"Sweller";"";"";"";NA;NA;1988;10;10;0.28;1;"math";"adolescents";20;2;20;0.28;0.28;10;10;0.292352941176471;0.292352941176471;0.199995726579202;0.199995726579202;0.183451743642577;0.183451743642577
"Tarmizi & Sweller (1988), exp 5";"Tarmizi";"Sweller";"";"";"";NA;NA;1988;10;10;-0.71;1;"math";"adolescents";20;2;20;-0.71;0.230655896;10;10;-0.741323529411765;0.240831891411765;0.199972525745929;0.199972525745929;0.183430462021261;0.183430462021261
"Trafton & Reiser (1993)";"Trafton";"Reiser";"";"";"";NA;NA;1993;20;20;0.39;0;"computer";"adults";40;2;40;0.39;0.39;20;20;0.397905405405405;0.397905405405405;0.0999995052252241;0.0999995052252241;0.0960654867090614;0.0960654867090614
"Tunteler & Resing (2002)";"Tunteler";"Resing";"";"";"";NA;NA;2002;18;18;-2.19;0;"science";"children";36;2;36;-2.19;-2.140791715;18;18;-2.23977272727273;-2.18944607215909;0.111087222301725;0.111087222301725;0.106204870309204;0.106204870309204
"van der Meij & Lazonder (1993)";"van der Meij";"Lazonder";"";"";"";NA;NA;1993;13;12;1.03;0;"science";"adults";25;2;25;1.03;1.03;13;12;1.06511363636364;1.06511363636364;0.159976769487989;0.159976769487989;0.149602717415165;0.149602717415165
"van hout Wolters (1990)";"van hout Wolters";"";"";"";"";NA;NA;1990;24;24;-0.54;2;"science";"adolescents";48;2;48;-0.54;-0.54;24;24;-0.549;-0.549;0.0833328791121763;0.0833328791121763;0.0806230488588645;0.0806230488588645
"Veenman et al. (1994)";"Veenman";"Elshout";"Busato";"";"";NA;NA;1994;15;14;-0.49;0;"science";"adults";29;2;29;-0.49;-0.49;15;14;-0.504134615384615;-0.504134615384615;0.137928159852578;0.137928159852578;0.130302295131931;0.130302295131931
"Ward & Sweller (1990), exp 1";"Ward";"Sweller";"";"";"";NA;NA;1990;21;21;-1.07;0;"science";"adolescents";42;2;42;-1.07;-1.054321247;21;21;-1.09057692307692;-1.07459665559615;0.095235037561921;0.095235037561921;0.0916751660973422;0.0916751660973422
