study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
Haney et al.;Haney;Michael;Martois;;;1976;67;0.21;Educ;Grades;0.213171347;0.213171347;67;0.213171347;0.213171347;0.015625;
Houston & Novick;Houston;Novick;;;;1987;101;0.01;Military;Grades;0.010000333;0.010000333;101;0.010000333;0.010000333;0.010204082;
Houston & Novick;Houston;Novick;;;;1987;126;0.17;Military;Grades;0.171666664;0.171666664;126;0.171666664;0.171666664;0.008130081;
Houston & Novick;Houston;Novick;;;;1987;146;0.24;Military;Grades;0.244774113;0.244774113;146;0.244774113;0.244774113;0.006993007;
Houston & Novick;Houston;Novick;;;;1987;177;0.16;Military;Grades;0.161386696;0.161386696;177;0.161386696;0.161386696;0.005747126;
Houston & Novick;Houston;Novick;;;;1987;210;0.35;Military;Grades;0.365443754;0.365443754;210;0.365443754;0.365443754;0.004830918;
Houston & Novick;Houston;Novick;;;;1987;278;0.17;Military;Grades;0.171666664;0.171666664;278;0.171666664;0.171666664;0.003636364;
Houston & Novick;Houston;Novick;;;;1987;281;0.27;Military;Grades;0.276863823;0.276863823;281;0.276863823;0.276863823;0.003597122;
Houston & Novick;Houston;Novick;;;;1987;301;0.22;Military;Grades;0.223656109;0.223656109;301;0.223656109;0.223656109;0.003355705;
Houston & Novick;Houston;Novick;;;;1987;361;0.21;Military;Grades;0.213171347;0.213171347;361;0.213171347;0.213171347;0.002793296;
Kallingal;Kallingal;;;;;1971;225;0.47;Educ;Grades;0.510070337;0.510070337;225;0.510070337;0.510070337;0.004504505;
Kirkpatrick et al.;Kirkpatrick;Ewen;Barrett;Katzell;;1968;22;-0.02;Employ;Subjective;-0.020002667;-0.020002667;22;-0.020002667;-0.020002667;0.052631579;
Kirkpatrick et al.;Kirkpatrick;Ewen;Barrett;Katzell;;1968;25;0.03;Employ;Subjective;0.030009005;0.030009005;25;0.030009005;0.030009005;0.045454545;
Kirkpatrick et al.;Kirkpatrick;Ewen;Barrett;Katzell;;1968;26;0.12;Employ;Subjective;0.120581028;0.120581028;26;0.120581028;0.120581028;0.043478261;
Kirkpatrick et al.;Kirkpatrick;Ewen;Barrett;Katzell;;1968;33;0.04;Employ;Subjective;0.040021354;0.040021354;33;0.040021354;0.040021354;0.033333333;
Kirkpatrick et al.;Kirkpatrick;Ewen;Barrett;Katzell;;1968;39;0.36;Employ;Objective;0.376885901;0.376885901;39;0.376885901;0.376885901;0.027777778;
Kirkpatrick et al.;Kirkpatrick;Ewen;Barrett;Katzell;;1968;98;0.3;Employ;Subjective;0.309519604;0.309519604;98;0.309519604;0.309519604;0.010526316;
Lichtman ;Lichtman;;;;;2008;337;0.23;Educ;Grades;0.234189467;0.234189467;337;0.234189467;0.234189467;0.002994012;
Lopez;Lopez;;;;;1966;56;0.09;Employ;Composite;0.090244188;0.090244188;56;0.090244188;0.090244188;0.018867925;
Mattern et al.;Mattern;Patterson;Shaw;Kobrin;Barbuti;2008;10096;0.26;Educ;Grades;0.266108407;0.266108407;10096;0.266108407;0.266108407;9.91E-05;
McCornack;McCornack;;;;;1983;83;0.29;Educ;Grades;0.298566264;0.298566264;83;0.298566264;0.298566264;0.0125;
McCornack;McCornack;;;;;1983;108;0.39;Educ;Grades;0.411800034;0.411800034;108;0.411800034;0.411800034;0.00952381;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;624;0.11;Military;Composite;0.110446916;0.110446916;624;0.110446916;0.110446916;0.001610306;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;956;0.14;Military;Composite;0.140925576;0.140925576;956;0.140925576;0.140925576;0.001049318;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;1039;0.12;Military;Composite;0.120581028;0.120581028;1039;0.120581028;0.120581028;0.000965251;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;1708;0.11;Military;Composite;0.110446916;0.110446916;1708;0.110446916;0.110446916;0.00058651;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;3111;0.1;Military;Composite;0.100335348;0.100335348;3111;0.100335348;0.100335348;0.00032175;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;3234;0.19;Military;Composite;0.192337169;0.192337169;3234;0.192337169;0.192337169;0.000309502;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;3316;0.14;Military;Composite;0.140925576;0.140925576;3316;0.140925576;0.140925576;0.000301841;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;3570;0.19;Military;Composite;0.192337169;0.192337169;3570;0.192337169;0.192337169;0.000280348;
McLaughlin et al.;McLaughlin;Rossmeissl;Wise;Brandt;Wang;1984;6985;0.13;Military;Composite;0.13073985;0.13073985;6985;0.13073985;0.13073985;0.000143225;
Moffat;Moffatt;;;;;1993;31;0.16;Educ;Grades;0.161386696;0.161386696;31;0.161386696;0.161386696;0.035714286;
Morgan;Morgan;;;;;1990;4086;0.29;Educ;Grades;0.298566264;0.298566264;4086;0.298566264;0.298566264;0.000244918;
Morgan;Morgan;;;;;1990;5095;0.3;Educ;Grades;0.309519604;0.309519604;5095;0.309519604;0.309519604;0.000196386;
Morgan;Morgan;;;;;1990;5162;0.35;Educ;Grades;0.365443754;0.365443754;5162;0.365443754;0.365443754;0.000193836;
Noble et al.;Noble;Crouse;Shulz;;;1996;275;0.27;Educ;Grades;0.276863823;0.276863823;275;0.276863823;0.276863823;0.003676471;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;17;0.13;Employ;Composite;0.13073985;0.13073985;17;0.107;0.107;0.071428571;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;17;0.12;Employ;Subjective;0.120581028;0.120581028;17;0.120581028;0.120581028;0.071428571;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;22;0.21;Employ;Subjective;0.213171347;0.213171347;22;0.213171347;0.213171347;0.052631579;
OLeary et al.;Oleary;Farr;Bartlett;;;1970;24;0.13;Employ;Subjective;0.13073985;0.13073985;24;0.13073985;0.13073985;0.047619048;
