"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Hartman (1980)?";"Hartman";"";"";"";"";"";"";1980;128;0;4;128;0;0;0;0;0.03125;0.03125;0.0308783482010521;0.0308783482010521
"Hemesath & Pomponio (1998)";"Hemesath";"Pomponio";"";"";"";"";"";1998;30;-0.59;4;30;-0.59;-0.582658375;-0.606388888888889;-0.598843329861111;0.133329701753389;0.133329791567331;0.126220082887065;0.126220167911805
"Holm (2000), exp 1";"Holm";"";"";"";"";"";"";2000;87;0.35;4;87;0.35;0.35;0.353125;0.353125;0.0459769940814075;0.0459769940814075;0.0451668426468146;0.0451668426468146
"Holm (2000), exp 2";"Holm";"";"";"";"";"";"";2000;58;-0.76;4;58;-0.76;-0.76;-0.770363636363636;-0.770363636363636;0.068965097707614;0.068965097707614;0.0671220159071873;0.0671220159071873
"Holm (2000), exp 3";"Holm";"";"";"";"";"";"";2000;85;0;4;85;0;0;0;0;0.0470588235294118;0.0470588235294118;0.0462096591906631;0.0462096591906631
"Holm (2000), exp 4";"Holm";"";"";"";"";"";"";2000;86;-0.98;4;86;-0.98;-0.98;-0.988855421686747;-0.988855421686747;0.0465114848989399;0.0465114848989399;0.0456821734150212;0.0456821734150212
"Holm (2000), exp 5";"Holm";"";"";"";"";"";"";2000;40;0.07;4;40;0.07;0.07;0.0714189189189189;0.0714189189189189;0.0999999840604339;0.0999999840604339;0.0960659467067121;0.0960659467067121
"Holm (2000), exp 6";"Holm";"";"";"";"";"";"";2000;86;-0.76;4;86;-0.76;-0.76;-0.766867469879518;-0.766867469879518;0.0465115418995389;0.0465115418995389;0.0456822293992852;0.0456822293992852
"Hopthrow et al. (2007)";"Hopthrow";"Abrams";"Frings";"Hulbert";"";"";"";2007;158;0;4;158;0;0;0;0;0.0253164556962025;0.0253164556962025;0.0250732245454997;0.0250732245454997
"Horai & Tedeschi (1969)";"Horai";"Tedeschi";"";"";"";"";"";1969;90;0;4;90;0;0;0;0;0.0444444444444444;0.0444444444444444;0.0436879570782705;0.0436879570782705
"Horai & Tedeschi (1975)";"Horai";"Tedeschi";"";"";"";"";"";1975;60;0;4;60;0;0;0;0;0.0666666666666667;0.0666666666666667;0.0649463091021533;0.0649463091021533
"Hottes & Kahn (1974)";"Hottes";"Kahn";"";"";"";"";"";1974;60;0.86;4;60;0.86;0.79941959;0.871315789473684;0.809938268815789;0.0666661980334147;0.0666662617308551;0.0649458525621526;0.0649459146158575
"Hu & Liu (2003)";"Hu";"Liu";"";"";"";"";"";2003;255;-0.47;4;255;-0.47;-0.47;-0.471398809523809;-0.471398809523809;0.0156862740893618;0.0156862740893618;0.0155933185956783;0.0155933185956783
"Huntoon (2006)";"Huntoon";"";"";"";"";"";"";2006;333;0.02;4;333;0.02;0.02;0.0200454545454545;0.0200454545454545;0.0120120120117506;0.0120120120117506;0.0119575975312494;0.0119575975312494
"Insko et al. (1987)";"Insko";"Pinkley";"Hoyle";"Dalton";"";"";"";1987;260;0;4;260;0;0;0;0;0.0153846153846154;0.0153846153846154;0.015295213450555;0.015295213450555
"Insko et al. (1993)";"Insko";"Schopler";"Drigotas";"Graetz";"";"";"";1993;77;0;4;77;0;0;0;0;0.051948051948052;0.051948051948052;0.0509108457341699;0.0509108457341699
"Insko et al. (2005), exp 1";"Insko";"Kirchner";"Pinter";"Efaw";"Wildschut";"";"";2005;292;0;4;292;0;0;0;0;0.0136986301369863;0.0136986301369863;0.0136278057999329;0.0136278057999329
"Insko et al. (2005), exp 2";"Insko";"Kirchner";"Pinter";"Efaw";"Wildschut";"";"";2005;258;0;4;258;0;0;0;0;0.0155038759689922;0.0155038759689922;0.0154130774762472;0.0154130774762472
"Iredale et al. (2008)";"Iredale";"Van Vugt";"Dunbar";"";"";"";"";2008;30;-0.26;4;30;-0.26;-0.26;-0.267222222222222;-0.267222222222222;0.133332628075671;0.133332628075671;0.126222853167326;0.126222853167326
"Jackson (2001)";"Jackson";"";"";"";"";"";"";2001;200;0;4;200;0;0;0;0;0.02;0.02;0.0198485809861575;0.0198485809861575
"Jackson (2008)";"Jackson";"";"";"";"";"";"";2008;66;0;4;66;0;0;0;0;0.0606060606060606;0.0606060606060606;0.0591884240327147;0.0591884240327147
"James et al. (2001)";"James";"Soroka";"Benjafield";"";"";"";"";2001;33;-1.17;4;33;-1.17;-1.17;-1.19925;-1.19925;0.121202420158118;0.121202420158118;0.115362208359899;0.115362208359899
"Jaster & Arrow (2010)";"Jaster";"Arrow";"";"";"";"";"";2010;324;-0.2;4;324;-0.2;-0.2;-0.200467289719626;-0.200467289719626;0.0123456789831716;0.0123456789831716;0.0122881904513305;0.0122881904513305
"Kahn et al. (1971), exp 1";"Kahn";"Hottes";"Davis";"";"";"";"";1971;40;0;4;40;0;0;0;0;0.1;0.1;0.0960659620192097;0.0960659620192097
"Kahn et al. (1971), exp 2";"Kahn";"Hottes";"Davis";"";"";"";"";1971;80;0;4;80;0;0;0;0;0.05;0.05;0.0490400223322753;0.0490400223322753
"Kamas et al. (2008)";"Kamas";"Preston";"Baum";"";"";"";"";2008;162;-0.62;4;162;-0.62;-0.62;-0.622924528301887;-0.622924528301887;0.0246913535175548;0.0246913535175548;0.0244600540565801;0.0244600540565801
"Kanouse & Wiest (1967)";"Kanouse";"Wiest";"";"";"";"";"";1967;187;-0.13;4;187;-0.13;-0.13;-0.130529891304348;-0.130529891304348;0.0213903742200845;0.0213903742200845;0.0212170565745007;0.0212170565745007
"Kennelly & Fantino (2007), exp 1";"Kennelly";"Fantino";"";"";"";"";"";2007;238;0.38;4;238;0.38;0.38;0.381212765957447;0.381212765957447;0.016806722326735;0.016806722326735;0.016699956758909;0.016699956758909
"Kennelly & Fantino (2007), exp 2";"Kennelly";"Fantino";"";"";"";"";"";2007;156;0.36;4;156;0.36;0.36;0.361764705882353;0.361764705882353;0.0256410238731816;0.0256410238731816;0.0253914776801029;0.0253914776801029
"Kershenbaum & Komorita (1970)";"Kershenbaum";"Komorita";"";"";"";"";"";1970;96;0;4;96;0;0;0;0;0.0416666666666667;0.0416666666666667;0.0410026666666667;0.0410026666666667
"Kiesler et al. (1996)";"Kiesler";"Sproull";"Waters";"";"";"";"";1996;86;0;4;86;0;0;0;0;0.0465116279069767;0.0465116279069767;0.0456823138731887;0.0456823138731887
"Knight (1980)";"Knight";"";"";"";"";"";"";1980;96;0;4;96;0;0;0;0;0.0416666666666667;0.0416666666666667;0.0410026666666667;0.0410026666666667
"Komorita & Mechling (1967)";"Komorita";"Mechling";"";"";"";"";"";1967;64;0;4;64;0;0;0;0;0.0625;0.0625;0.060991001327673;0.060991001327673
"Komorita (1965), exp 1";"Komorita";"";"";"";"";"";"";1965;74;0.73;4;74;0.73;0.73;0.737711267605634;0.737711267605634;0.0540539088646993;0.0540539088646993;0.0529297681578165;0.0529297681578165
"Komorita (1965), exp 2";"Komorita";"";"";"";"";"";"";1965;54;-0.56;4;54;-0.56;-0.56;-0.568235294117647;-0.568235294117647;0.0740737702868002;0.0740737702868002;0.071942262929251;0.071942262929251
