"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vr"
"Newsom";"Newsom";"";"";"";"";"";"";2004;61;0.2;0.202732554054082;0.202732554054082;61;0.202732554;0.202732554;0.0172413793103448;0.0172413793103448;0.01536
"Northwood";"Northwood";"";"";"";"";"";"";1996;40;0.2;0.202732554054082;0.202732554054082;40;0.202732554;0.202732554;0.027027027027027;0.027027027027027;0.0236307692307692
"ODonnel";"ODonnel";"Odonnell";"Wadlaw";"Stueve";"";"";"";2004;879;0.03;0.0300090048631265;0.0300090048631265;879;0.030009005;0.030009005;0.00114155251141553;0.00114155251141553;0.00113690297266515
"Orellana";"Orellana";"";"";"";"";"";"";2004;201;0;0;0;201;0;0;0.00505050505050505;0.00505050505050505;0.005
"Pallock";"Pallock";"";"";"";"";"";"";2003;159;0.29;0.298566263660178;0.298566263660178;159;0.298566264;0.298566264;0.00641025641025641;0.00641025641025641;0.00530932158227848
"Parisi";"Parisi";"";"";"";"";"";"";1997;91;0.1;0.100335347731076;0.100335347731076;91;0.100335348;0.100335348;0.0113636363636364;0.0113636363636364;0.01089
"Park-Adams";"Park-Adams";"";"";"";"";"";"";1997;75;0.09;0.0902441878561468;0.0902441878561468;75;0.090244188;0.090244188;0.0138888888888889;0.0138888888888889;0.0132954812162162
"Paschall & Flewelling";"Paschall";"Flewelling";"";"";"";"";"";1997;263;0.3;0.309519604203112;0.309519604203112;263;0.309519604;0.309519604;0.00384615384615385;0.00384615384615385;0.00316068702290076
"Perez";"Perez";"";"";"";"";"";"";1998;130;-0.05;-0.0500417292784913;-0.0500417292784913;130;-0.050041729;-0.050041729;0.0078740157480315;0.0078740157480315;0.00771322674418605
"Petersons et al.";"Petersons";"Rojhani";"Steinhaus";"Larkin";"";"";"";2000;218;-0.17;-0.171666663500579;-0.171666663500579;218;-0.171666664;-0.171666664;0.00465116279069767;0.00465116279069767;0.00434578437788018
"Phan & Tylka";"Phan";"Tylka";"";"";"";"";"";2006;200;0.12;0.120581028408444;0.120581028408444;200;0.120581028;0.120581028;0.0050761421319797;0.0050761421319797;0.0048814440201005
"Phillips";"Phillips";"";"";"";"";"";"";1994;309;0.05;0.0500417292784913;0.0500417292784913;309;0.050041729;0.050041729;0.00326797385620915;0.00326797385620915;0.00323053977272727
"Phinney";"Phinney";"";"";"";"";"";"";1992;518;0.3;0.309519604203112;0.309519604203112;518;0.309519604;0.309519604;0.00194174757281553;0.00194174757281553;0.00160174081237911
"Phinney & Alipuria";"Phinney";"Alipuria";"";"";"";"";"";1990;150;0.29;0.298566263660178;0.298566263660178;150;0.298566264;0.298566264;0.00680272108843537;0.00680272108843537;0.0056300188590604
"Phinney et al";"Phinney";"Madden";"Santos";"";"";"";"";1998;164;0.13;0.130739850028878;0.130739850028878;164;0.13073985;0.13073985;0.0062111801242236;0.0062111801242236;0.00592935957055215
"Phinney et al.";"Phinney";"Ferguson";"Tate";"";"";"";"";1997;547;0.05;0.0500417292784913;0.0500417292784913;547;0.050041729;0.050041729;0.00183823529411765;0.00183823529411765;0.00182235576923077
"Phinney et al.";"Phinney";"Cantu";"Kurtz";"";"";"";"";1997;604;0.22;0.223656109021832;0.223656109021832;604;0.223656109;0.223656109;0.00166389351081531;0.00166389351081531;0.00150172895522388
"Phinny & Chavira";"Phinny";"Chavira";"";"";"";"";"";1992;64;0.48;0.522984277591344;0.522984277591344;64;0.510070337;0.510070337;0.0163934426229508;0.0163934426229508;0.00940133587301587
"Pittenger";"Pittenger";"";"";"";"";"";"";1998;136;0.23;0.234189466759367;0.234189466759367;136;0.234189467;0.234189467;0.0075187969924812;0.0075187969924812;0.00664443266666667
"Prelow et al.";"Prelow";"Bowman";"Weaver";"";"";"";"";2007;112;0.17;0.171666663500579;0.171666663500579;112;0.171666664;0.171666664;0.00917431192660551;0.00917431192660551;0.0084958127027027
"Pugh-Lilly";"Pugh-Lilly";"";"";"";"";"";"";2000;121;-0.07;-0.0701146706543252;-0.0701146706543252;121;-0.070114671;-0.070114671;0.00847457627118644;0.00847457627118644;0.00825186675
