"id";"study";"g";"r";"d";"z";"type"
2;"Reinking & Rickman (1990)";-1.09;NA;NA;NA;"o"
2;"Salmon et al. (2007)";-1.66;NA;NA;NA;"o"
2;"Strand-Cary & Klahr (2008)";-0.85;NA;NA;NA;"o"
2;"Sweller et al. (1990), exp 3";-1.78;NA;NA;NA;"o"
2;"Trafton & Reiser (1993)";0.39;NA;NA;NA;"o"
2;"Tunteler & Resing (2002)";-2.19;NA;NA;NA;"o"
2;"van der Meij & Lazonder (1993)";1.03;NA;NA;NA;"o"
2;"Ward & Sweller (1990), exp 1";-1.07;NA;NA;NA;"o"
2;"Ward & Sweller (1990), exp 2";-1.52;NA;NA;NA;"o"
2;"Wittrock (1963)";-0.84;NA;NA;NA;"o"
2;"Worthen (1968)";0.08;NA;NA;NA;"o"
2;"Zacharia & Anderson (2003)";4.62;NA;NA;NA;"o"
3;"Allerdings & Alfano (2006)";-0.81;NA;NA;NA;"r"
3;"Borgaro et al. (2004)";-1.21;NA;NA;NA;"r"
3;"Braun et al. (1989)";-1.47;NA;NA;NA;"r"
3;"Green et al. (2004)";-1.15;NA;NA;NA;"r"
3;"Henry et al. (2006)";-0.54;NA;NA;NA;"r"
3;"Hopkins et al. (2002)";-1.38;NA;NA;NA;"r"
3;"Ietswaart et al. (2008)";-0.81;NA;NA;NA;"r"
3;"Jackson & Moffat (1987)";-1.24;NA;NA;NA;"r"
3;"Milders et al. (2003)";-1.01;NA;NA;NA;"r"
3;"Knox & Douglas (2009)";-2.09;NA;NA;NA;"o"
3;"McDonald & Saunders (2005)";-0.5;NA;NA;NA;"o"
3;"Milders et al. (2008)";-2.07;NA;NA;NA;"o"
3;"Spell & Frank (2000)";-0.56;NA;NA;NA;"o"
4;"Ahmed (2008)";-0.21;NA;NA;NA;"r"
4;"Alcock & Mansell (1977)";-0.11;NA;NA;NA;"r"
4;"Andersen et al. (2008), exp 1";-0.2;NA;NA;NA;"r"
4;"Andersen et al. (2008), exp 3";-0.21;NA;NA;NA;"r"
4;"Ando (1999) ";0;NA;NA;NA;"r"
4;"Andreoni & Petrie (2008)";0.29;NA;NA;NA;"r"
4;"Aranoff & Tedeschi (1968) ";0;NA;NA;NA;"r"
4;"Baker & Rachlin (2001), exp 1 ";0;NA;NA;NA;"r"
4;"Baker & Rachlin (2001), exp 2";0;NA;NA;NA;"r"
4;"Baker & Rachlin (2001), exp 3 ";0;NA;NA;NA;"r"
4;"Balliet (2009)";-0.09;NA;NA;NA;"r"
4;"Batson et al. (1995), exp 1";0;NA;NA;NA;"r"
4;"Batson et al. (1995), exp 2";0;NA;NA;NA;"r"
4;"Belot et al. (2010)";-0.33;NA;NA;NA;"r"
4;"Bixenstine & Garebelein (1971) ";0;NA;NA;NA;"r"
4;"Bixenstine & Wilson (1963) ";0;NA;NA;NA;"r"
4;"Bixenstine et al. (1963)";0.05;NA;NA;NA;"r"
4;"Bixenstine et al. (1964)";0.28;NA;NA;NA;"r"
4;"Black & Higbee (1973) ";0;NA;NA;NA;"r"
4;"Bonacich (1972)";-0.3;NA;NA;NA;"r"
4;"Boone et al. (1999) ";0;NA;NA;NA;"r"
4;"Boone et al. (2010)";-0.13;NA;NA;NA;"r"
4;"Brickman et al. (1979), exp 1";-0.08;NA;NA;NA;"r"
4;"Brown (2006)";-0.2;NA;NA;NA;"r"
4;"Buchan et al. (2009)";-0.04;NA;NA;NA;"r"
4;"Cadsby & Maynes (1998)";-0.23;NA;NA;NA;"r"
4;"Cadsby et al. (2007)";-0.14;NA;NA;NA;"r"
4;"Caldwell (1976) ";0;NA;NA;NA;"r"
4;"Campbell et al. (2005), exp 2";-0.32;NA;NA;NA;"r"
4;"Carment (1974)";0.31;NA;NA;NA;"r"
4;"Charness & Rustichini (2010), exp 1";-0.01;NA;NA;NA;"r"
4;"Charness & Rustichini (2010), exp 2";-0.23;NA;NA;NA;"r"
4;"Clark & Sefton (2001) ";0;NA;NA;NA;"r"
